gene,disease,score,association,pmid
TAF1A,MESH:D003110,1.0,Association,32522293
MIR4421,MESH:D009959,0.567,Association,33046743
MIR4421,MESH:D014060,0.999,Association,33046743
MIR4421,MESH:D063646,0.967,Association,33046743
G0S2,MESH:D009080,0.93,Positive_Correlation,35292727
HSD11B1,MESH:D009080,0.998,Association,35292727
HSD11B1,MESH:D007249,0.999,Association,35292727
G0S2,MESH:D007249,0.983,Association,35292727
Rnf207,MESH:D019190,0.789,Positive_Correlation,35352799
Rnf207,MESH:D006331,0.999,Positive_Correlation,35352799
Rnf207,MESH:D006332,0.999,Positive_Correlation,35352799
Rnf207,MESH:D005355,0.84,Positive_Correlation,35352799
Rnf207,MESH:D006984,0.998,Positive_Correlation,35352799
NIBAN1,MESH:D009369,0.997,Positive_Correlation,35776020
NIBAN1,MESH:D004938,0.966,Association,35776020
FLVCR1,MESH:D000086382,0.651,Association,36359290
PYCR2,MESH:D002292,0.5,Positive_Correlation,36624948
PYCR2,MESH:D009369,0.978,Positive_Correlation,36624948
ZFP69B,MESH:D006528,0.999,Association,"36249031,36647389"
PTPRU,MESH:C562645,0.933,Association,37056996
IFI44L,MESH:D001424,1.0,Association,37371198
FAM89A,MESH:D001424,0.999,Association,37371198
Snora73b,MESH:D016889,0.592,Association,37488742
EBNA1BP2,MESH:D001749,0.998,Association,37701108
LORICRIN,MESH:D001749,0.999,Association,37701108
PPIAL4A,MESH:D058186,0.663,Association,37779910
SLC16A1,MESH:D002292,0.999,Association,37848987
CCDC18,MESH:D002292,0.997,Association,37848987
EMBP1,MESH:D002578,0.982,Association,38072997
CRNN,MESH:D001749,0.998,Association,38172792
BNIPL,MESH:D007822,0.999,Association,38302910
SCARNA2,MESH:D000707,0.986,Association,38384772
DCLRE1B,MESH:D002292,1.0,Association,38430974
TARS2,MESH:D030342,0.971,Association,38482264
TARS2,MESH:C565423,0.605,Association,38482264
TARS2,MESH:D051436,0.931,Association,38482264
TARS2,MESH:D007037,0.98,Association,38482264
TARS2,MESH:D007011,0.961,Association,38482264
TNFAIP8L2,MESH:D000077216,0.998,Negative_Correlation,39259551
TNFAIP8L2,MESH:D009369,0.99,Negative_Correlation,39259551
TNFAIP8L2,MESH:D009362,0.999,Negative_Correlation,39259551
TNFAIP8L2,MESH:D010051,0.994,Negative_Correlation,39259551
MATN1,MESH:D005910,0.999,Association,39428107
RABGAP1L,MESH:D013274,0.999,Association,39430825
NAV1,MESH:C562942,0.878,Association,39457433
IL10,OMIM:109730,0.996,Association,39457433
PCSK9,OMIM:109730,0.995,Association,39457433
ALPL,OMIM:109730,0.961,Association,39457433
IL10,MESH:D007249,0.999,Association,39457433
FAAP20,MESH:D000740,0.999,Association,39558275
ADORA1,MESH:D002292,0.63,Association,39697703
PLPPR4,MESH:D002292,0.998,Association,39697703
OTUD3,MESH:D019636,1.0,Association,39788523
OTUD3,MESH:D008175,0.989,Positive_Correlation,39788523
OTUD3,MESH:D015179,0.999,Negative_Correlation,39788523
OTUD3,MESH:D007249,0.999,Association,39788523
OTUD3,MESH:D001943,0.999,Negative_Correlation,39788523
OTUD3,MESH:D004938,0.999,Negative_Correlation,39788523
OTUD3,MESH:D009369,1.0,Association,39788523
OTUD3,MESH:D000077273,0.999,Negative_Correlation,39788523
KCNJ9,MESH:D001007,1.0,Association,39801366
Atp1a2,MESH:D001007,1.0,Association,39801366
INPP5B,MESH:D059350,0.993,Association,39934103
INPP5B,MESH:D010146,0.886,Association,39934103
MTHFR,MESH:D009436,1.0,Association,39950581
VANGL2,MESH:D009436,0.999,Association,39950581
VANGL1,MESH:D009436,0.999,Association,39950581
MIR200B,MESH:D010051,0.999,Association,"40070792,40194350"
TIPRL,MESH:D009369,0.949,Association,40088344
TIPRL,MESH:D063646,1.0,Association,40088344
TIPRL,MESH:D004476,0.958,Association,40088344
CRB1,MESH:D014605,1.0,Association,40157547
GJC2,MESH:D000072657,1.0,Association,40169697
HMGCL,MESH:D000072657,1.0,Association,40169697
AKT3,MESH:D000072657,1.0,Association,40169697
PKP1,MESH:C536183,1.0,Association,40178867
Faah,MESH:C000726808,0.984,Positive_Correlation,40187430
TEDDM1,MESH:D006528,0.976,Positive_Correlation,28662289
RGSL1,MESH:D006528,0.976,Association,28662289
LINC00272,MESH:D006528,0.979,Positive_Correlation,28662289
GLUL,MESH:D006528,0.998,Association,28662289
OR10K1,MESH:D001249,0.992,Association,30669148
ATF3,MESH:D001249,0.997,Association,30669148
EPB41,MESH:C563333,0.981,Negative_Correlation,34652259
BPNT1,MESH:C563333,0.975,Negative_Correlation,34652259
SLC35E2A,MESH:D000077277,0.998,Association,35247439
C1QB,MESH:D007037,0.887,Association,35450027
IL12RB2,MESH:D003586,0.805,Negative_Correlation,36518759
SH2D1B,MESH:D003586,0.898,Association,36518759
SFT2D2,MESH:D001327,1.0,Association,36619926
MPC2,MESH:D012559,0.791,Association,36619926
GPR161,MESH:D012559,0.927,Association,36619926
MTOR,MESH:D009107,1.0,Association,37020999
COLGALT2,MESH:D008457,0.997,Association,37020999
SOAT1,MESH:D008457,0.999,Association,37020999
LAMC1,MESH:D009107,0.999,Association,37020999
GSTM4,MESH:D008457,0.994,Association,37020999
PAQR6,MESH:D008457,0.998,Association,37020999
CCDC18,MESH:D009101,0.997,Association,37227248
ACBD3,MESH:D009101,0.997,Association,37227248
LINC01132,MESH:D007938,0.671,Association,37264554
PARP1,MESH:D007938,0.999,Association,37264554
OLFML2B,MESH:D006528,0.96,Association,37340445
OLFML2B,MESH:D009369,0.995,Association,37340445
SLC35F3,MESH:D000077273,0.999,Association,37733241
YBX1,MESH:D013274,0.993,Association,37929660
PIN1P1,MESH:D013274,0.779,Positive_Correlation,37929660
